text,label
"Saat hujan deras, sekitar puskesmas tergenang hingga 20 cm karena drainase tersumbat.",Banjir
Warga melaporkan parkir liar di RW 05 yang warga merasa tidak aman.,Keamanan
pencurian terjadi di depan sekolah dan membuat mengganggu ketertiban.,Keamanan
"Area perempatan rawan balap liar, terutama malam hari.",Keamanan
Warga melaporkan pencurian di depan sekolah yang rawan tindakan kriminal.,Keamanan
"Mohon penanganan banjir di RW 03, air setinggi 20 cm sejak sejak pagi.",Banjir
Mohon peningkatan keamanan di area parkir karena terjadi begal.,Keamanan
TPS kotor di RW 03 dan mengganggu warga.,Kebersihan
"Mohon penanganan banjir di komplek perumahan, air setinggi 50 cm sejak sejak hujan deras.",Banjir
"Kondisi TPS di dekat pasar berbau, mengganggu aktivitas masyarakat.",Kebersihan
Warga mengeluhkan jalan lingkungan rusak parah di gang kecil. Kondisi ini mengganggu aktivitas warga.,Infrastruktur
"Mohon perbaikan lampu jalan yang berlubang di jalan menuju halte, karena membahayakan pengendara.",Infrastruktur
"Air meluap di komplek perumahan karena gorong-gorong tersumbat, kondisi berlangsung sejak hujan deras.",Banjir
marka jalan di gang kecil rusak parah dan mengganggu aktivitas warga.,Infrastruktur
Jalan tertutup material di gang kecil sehingga menyebabkan kemacetan.,Infrastruktur
Drainase di dekat pasar bermasalah sehingga terjadi banjir 2 hari.,Banjir
"Warga melaporkan masalah kebersihan di sekitar puskesmas, mengundang lalat.",Kebersihan
Warga mengeluhkan layanan KTP di loket pelayanan karena waktu tunggu terlalu lama.,Administrasi
"Area RW 05 rawan keributan, terutama malam hari.",Keamanan
"Mohon perbaikan jalan lingkungan yang rusak di jalan menuju halte, karena menyebabkan kemacetan.",Infrastruktur
marka jalan di dekat pasar tertutup material dan mengganggu aktivitas warga.,Infrastruktur
Warga mengeluhkan marka jalan tertutup material di jalan menuju halte. Kondisi ini membuat warga kesulitan lewat.,Infrastruktur
"Sistem layanan kelurahan untuk KTP tertunda, sehingga informasi tidak jelas.",Administrasi
Banjir terjadi di perempatan akibat drainase tersumbat. Genangan mencapai 20 cm.,Banjir
Banjir terjadi di perempatan akibat hujan deras. Genangan mencapai 20 cm.,Banjir
"Air meluap di RW 05 karena drainase tersumbat, kondisi berlangsung 2 hari.",Banjir
"Sistem layanan mal pelayanan publik untuk surat pindah terlalu lama, sehingga informasi tidak jelas.",Administrasi
"Kondisi sampah di depan sekolah kotor, mengganggu aktivitas masyarakat.",Kebersihan
"Sistem layanan kelurahan untuk akta kelahiran mengalami gangguan, sehingga waktu tunggu terlalu lama.",Administrasi
"Sistem layanan kelurahan untuk surat domisili tertunda, sehingga waktu tunggu terlalu lama.",Administrasi
"Sering terjadi keributan di RW 05 pada akhir pekan, mohon patroli.",Keamanan
"Area dekat pasar rawan keributan, terutama akhir pekan.",Keamanan
marka jalan di perempatan rusak parah dan menyebabkan kemacetan.,Infrastruktur
"Mohon penanganan banjir di komplek perumahan, air setinggi 50 cm sejak 3 jam.",Banjir
Warga melaporkan parkir liar di area parkir yang warga merasa tidak aman.,Keamanan
"Air meluap di RW 03 karena drainase tersumbat, kondisi berlangsung sejak pagi.",Banjir
Drainase di perempatan bermasalah sehingga terjadi banjir sejak pagi.,Banjir
Jalan rusak di RW 03 sehingga membuat warga kesulitan lewat.,Infrastruktur
Warga mengeluhkan trotoar rusak parah di RW 03. Kondisi ini membahayakan pengendara.,Infrastruktur
"Mohon penanganan banjir di sekitar puskesmas, air setinggi 40 cm sejak 3 jam.",Banjir
Mohon petugas menangani tumpukan sampah di sekitar puskesmas karena menimbulkan bau menyengat.,Kebersihan
"Mohon penanganan banjir di komplek perumahan, air setinggi 30 cm sejak sejak hujan deras.",Banjir
"Antrian layanan KTP di loket pelayanan lambat, pengajuan tertunda.",Administrasi
"Mohon perbaikan trotoar yang rusak di RW 05, karena berpotensi menyebabkan kecelakaan.",Infrastruktur
jalan lingkungan di dekat pasar retak dan tidak rata dan membahayakan pengendara.,Infrastruktur
"Sistem layanan mal pelayanan publik untuk surat domisili tidak jelas, sehingga pelayanan menjadi terhambat.",Administrasi
Warga melaporkan parkir liar di perempatan yang warga merasa tidak aman.,Keamanan
Proses akta kelahiran di kantor kecamatan lambat. Mohon perbaikan pelayanan.,Administrasi
Proses surat domisili di kantor desa mengalami gangguan. Mohon perbaikan pelayanan.,Administrasi
"Sudah beberapa hari marka jalan di gang kecil berlubang, berpotensi menyebabkan kecelakaan.",Infrastruktur
Pengangkutan sampah di RW 05 penuh sehingga mengundang lalat.,Kebersihan
"Sering terjadi parkir liar di jalan utama pada dini hari, mohon patroli.",Keamanan
"Warga melaporkan masalah kebersihan di RW 05, mengundang lalat.",Kebersihan
"Sudah beberapa hari lampu jalan di perempatan rusak, membahayakan pengendara.",Infrastruktur
"Mohon perbaikan marka jalan yang ambrol di RW 05, karena membahayakan pengendara.",Infrastruktur
"Antrian layanan KK di mal pelayanan publik lambat, waktu tunggu terlalu lama.",Administrasi
Banjir terjadi di RW 05 akibat sungai meluap. Genangan mencapai 20 cm.,Banjir
Drainase di RW 05 bermasalah sehingga terjadi banjir sejak pagi.,Banjir
Jalan rusak di RW 05 sehingga membahayakan pengendara.,Infrastruktur
"Sudah beberapa hari trotoar di dekat pasar rusak parah, berpotensi menyebabkan kecelakaan.",Infrastruktur
Jalan rusak parah di depan sekolah sehingga membuat warga kesulitan lewat.,Infrastruktur
"Warga melaporkan masalah kebersihan di RW 03, menimbulkan bau menyengat.",Kebersihan
"Air meluap di RW 05 karena hujan deras, kondisi berlangsung 2 hari.",Banjir
Warga melaporkan pencurian di dekat pasar yang mengganggu ketertiban.,Keamanan
"Sering terjadi begal di depan sekolah pada sore hari, mohon patroli.",Keamanan
Warga mengeluhkan trotoar rusak parah di gang kecil. Kondisi ini menyebabkan kemacetan.,Infrastruktur
lampu jalan di gang kecil ambrol dan mengganggu aktivitas warga.,Infrastruktur
"Air meluap di perempatan karena gorong-gorong tersumbat, kondisi berlangsung sejak hujan deras.",Banjir
"Saat hujan deras, perempatan tergenang hingga 50 cm karena sungai meluap.",Banjir
"Area depan sekolah rawan begal, terutama sore hari.",Keamanan
"Sudah beberapa hari lampu jalan di RW 05 berlubang, berpotensi menyebabkan kecelakaan.",Infrastruktur
Mohon peningkatan keamanan di RW 03 karena terjadi balap liar.,Keamanan
"Air meluap di perempatan karena sungai meluap, kondisi berlangsung sejak pagi.",Banjir
"Mohon penanganan banjir di RW 05, air setinggi 40 cm sejak sejak hujan deras.",Banjir
"Sudah beberapa hari marka jalan di RW 03 rusak, membahayakan pengendara.",Infrastruktur
keributan terjadi di RW 03 dan membuat rawan tindakan kriminal.,Keamanan
Pengurusan akta kelahiran di loket pelayanan tertunda sehingga informasi tidak jelas.,Administrasi
Warga melaporkan balap liar di dekat pasar yang mengganggu ketertiban.,Keamanan
"Kondisi TPS di dekat pasar kotor, menimbulkan bau menyengat.",Kebersihan
Banjir terjadi di komplek perumahan akibat selokan penuh sampah. Genangan mencapai 50 cm.,Banjir
Jalan ambrol di dekat pasar sehingga membuat warga kesulitan lewat.,Infrastruktur
"Sistem layanan kantor desa untuk surat pindah lambat, sehingga waktu tunggu terlalu lama.",Administrasi
"Sudah beberapa hari jembatan di RW 03 retak dan tidak rata, menyebabkan kemacetan.",Infrastruktur
Mohon petugas menangani tumpukan sampah di RW 05 karena mengganggu warga.,Kebersihan
jalan lingkungan di jalan menuju halte tertutup material dan berpotensi menyebabkan kecelakaan.,Infrastruktur
Jalan rusak parah di gang kecil sehingga menyebabkan kemacetan.,Infrastruktur
Pengangkutan sampah di RW 05 menumpuk sehingga membuat lingkungan tidak nyaman.,Kebersihan
Banjir terjadi di RW 05 akibat sungai meluap. Genangan mencapai 50 cm.,Banjir
"Saat hujan deras, perempatan tergenang hingga 20 cm karena selokan penuh sampah.",Banjir
jalan di RW 03 ambrol dan berpotensi menyebabkan kecelakaan.,Infrastruktur
"Sudah beberapa hari jalan di jalan utama berlubang, menyebabkan kemacetan.",Infrastruktur
Banjir terjadi di komplek perumahan akibat hujan deras. Genangan mencapai 10 cm.,Banjir
Proses KK di kantor desa tidak jelas. Mohon perbaikan pelayanan.,Administrasi
"Area jalan utama rawan vandalisme, terutama malam hari.",Keamanan
Mohon peningkatan keamanan di RW 05 karena terjadi vandalisme.,Keamanan
Mohon petugas menangani TPS di dekat balai warga karena mengganggu aktivitas masyarakat.,Kebersihan
"Sering terjadi parkir liar di dekat pasar pada malam hari, mohon patroli.",Keamanan
Warga mengeluhkan marka jalan retak dan tidak rata di RW 03. Kondisi ini menyebabkan kemacetan.,Infrastruktur
Warga mengeluhkan layanan surat domisili di kelurahan karena warga harus bolak-balik.,Administrasi
"Mohon perbaikan jalan yang berlubang di RW 03, karena menyebabkan kemacetan.",Infrastruktur
"Sering terjadi balap liar di jalan utama pada malam hari, mohon patroli.",Keamanan
Pengurusan surat pindah di kelurahan tertunda sehingga warga harus bolak-balik.,Administrasi
Pengurusan surat domisili di kantor kecamatan tidak jelas sehingga informasi tidak jelas.,Administrasi
"Saat hujan deras, jalan utama tergenang hingga 30 cm karena selokan penuh sampah.",Banjir
"Sudah beberapa hari lampu jalan di dekat pasar retak dan tidak rata, membuat warga kesulitan lewat.",Infrastruktur
"Area RW 05 rawan parkir liar, terutama sore hari.",Keamanan
Warga mengeluhkan lampu jalan retak dan tidak rata di RW 05. Kondisi ini membuat warga kesulitan lewat.,Infrastruktur
selokan menumpuk di RW 03 dan menimbulkan bau menyengat.,Kebersihan
Pengurusan KTP di kelurahan terlalu lama sehingga waktu tunggu terlalu lama.,Administrasi
"Antrian layanan surat pindah di kantor kecamatan mengalami gangguan, informasi tidak jelas.",Administrasi
"Sudah beberapa hari trotoar di dekat pasar berlubang, menyebabkan kemacetan.",Infrastruktur
Warga melaporkan balap liar di perempatan yang membahayakan pengguna jalan.,Keamanan
Banjir terjadi di sekitar puskesmas akibat drainase tersumbat. Genangan mencapai 40 cm.,Banjir
"Sistem layanan kantor desa untuk akta kelahiran terlalu lama, sehingga warga harus bolak-balik.",Administrasi
Pengangkutan sampah di sekitar puskesmas penuh sehingga menimbulkan bau menyengat.,Kebersihan
Banjir terjadi di dekat pasar akibat drainase tersumbat. Genangan mencapai 10 cm.,Banjir
"Sering terjadi keributan di dekat pasar pada sore hari, mohon patroli.",Keamanan
Warga melaporkan keributan di depan sekolah yang membahayakan pengguna jalan.,Keamanan
Pengangkutan sampah di dekat balai warga berbau sehingga mengundang lalat.,Kebersihan
Pengurusan surat domisili di loket pelayanan terlalu lama sehingga warga harus bolak-balik.,Administrasi
Pengurusan akta kelahiran di kantor kecamatan tidak jelas sehingga pelayanan menjadi terhambat.,Administrasi
jalan lingkungan di perempatan ambrol dan mengganggu aktivitas warga.,Infrastruktur
Banjir terjadi di RW 05 akibat selokan penuh sampah. Genangan mencapai 30 cm.,Banjir
Mohon peningkatan keamanan di RW 03 karena terjadi vandalisme.,Keamanan
Warga mengeluhkan layanan akta kelahiran di kantor desa karena pengajuan tertunda.,Administrasi
Warga melaporkan balap liar di perempatan yang warga merasa tidak aman.,Keamanan
marka jalan di RW 03 rusak dan berpotensi menyebabkan kecelakaan.,Infrastruktur
Mohon peningkatan keamanan di dekat pasar karena terjadi vandalisme.,Keamanan
Banjir terjadi di jalan utama akibat drainase tersumbat. Genangan mencapai 10 cm.,Banjir
"Antrian layanan surat pindah di mal pelayanan publik tertunda, warga harus bolak-balik.",Administrasi
"Sering terjadi parkir liar di RW 05 pada dini hari, mohon patroli.",Keamanan
Mohon peningkatan keamanan di perempatan karena terjadi pencurian.,Keamanan
Pengurusan akta kelahiran di kantor kecamatan tertunda sehingga waktu tunggu terlalu lama.,Administrasi
Warga mengeluhkan layanan surat domisili di kantor kecamatan karena pengajuan tertunda.,Administrasi
Warga mengeluhkan layanan KK di loket pelayanan karena pengajuan tertunda.,Administrasi
"Saat hujan deras, komplek perumahan tergenang hingga 40 cm karena selokan penuh sampah.",Banjir
Warga melaporkan begal di area parkir yang membahayakan pengguna jalan.,Keamanan
"Mohon perbaikan jalan lingkungan yang rusak di jalan menuju halte, karena mengganggu aktivitas warga.",Infrastruktur
parkir liar terjadi di RW 03 dan membuat mengganggu ketertiban.,Keamanan
"Sudah beberapa hari marka jalan di RW 05 retak dan tidak rata, menyebabkan kemacetan.",Infrastruktur
"Sudah beberapa hari jalan lingkungan di RW 03 retak dan tidak rata, berpotensi menyebabkan kecelakaan.",Infrastruktur
"Kondisi sampah di RW 05 tidak terangkut, membuat lingkungan tidak nyaman.",Kebersihan
"Mohon perbaikan lampu jalan yang rusak di dekat pasar, karena menyebabkan kemacetan.",Infrastruktur
Banjir terjadi di sekitar puskesmas akibat hujan deras. Genangan mencapai 20 cm.,Banjir
"Saat hujan deras, RW 03 tergenang hingga 40 cm karena hujan deras.",Banjir
vandalisme terjadi di jalan utama dan membuat rawan tindakan kriminal.,Keamanan
Warga mengeluhkan jalan berlubang di gang kecil. Kondisi ini mengganggu aktivitas warga.,Infrastruktur
"Sistem layanan loket pelayanan untuk akta kelahiran tidak jelas, sehingga waktu tunggu terlalu lama.",Administrasi
"Air meluap di sekitar puskesmas karena drainase tersumbat, kondisi berlangsung sejak pagi.",Banjir
"Kondisi selokan di dekat balai warga berbau, membuat lingkungan tidak nyaman.",Kebersihan
"Area RW 03 rawan parkir liar, terutama dini hari.",Keamanan
"Antrian layanan surat pindah di kelurahan mengalami gangguan, warga harus bolak-balik.",Administrasi
"Warga melaporkan masalah kebersihan di sekitar puskesmas, mengganggu aktivitas masyarakat.",Kebersihan
Pengurusan KTP di kelurahan lambat sehingga warga harus bolak-balik.,Administrasi
"Area RW 03 rawan pencurian, terutama sore hari.",Keamanan
Warga mengeluhkan marka jalan ambrol di perempatan. Kondisi ini menyebabkan kemacetan.,Infrastruktur
Drainase di dekat pasar bermasalah sehingga terjadi banjir sejak pagi.,Banjir
"Mohon penanganan banjir di jalan utama, air setinggi 50 cm sejak 3 jam.",Banjir
"Air meluap di RW 05 karena gorong-gorong tersumbat, kondisi berlangsung 3 jam.",Banjir
Jalan retak dan tidak rata di jalan utama sehingga membuat warga kesulitan lewat.,Infrastruktur
Jalan ambrol di perempatan sehingga berpotensi menyebabkan kecelakaan.,Infrastruktur
sampah penuh di sekitar puskesmas dan mengganggu warga.,Kebersihan
"Antrian layanan KK di loket pelayanan lambat, pengajuan tertunda.",Administrasi
"Sistem layanan kelurahan untuk akta kelahiran tertunda, sehingga pelayanan menjadi terhambat.",Administrasi
Warga mengeluhkan jembatan rusak parah di RW 05. Kondisi ini membahayakan pengendara.,Infrastruktur
Mohon petugas menangani pengangkutan sampah di dekat balai warga karena menimbulkan bau menyengat.,Kebersihan
jembatan di perempatan tertutup material dan mengganggu aktivitas warga.,Infrastruktur
Pengurusan KTP di kantor kecamatan tertunda sehingga waktu tunggu terlalu lama.,Administrasi
"Mohon penanganan banjir di komplek perumahan, air setinggi 30 cm sejak sejak pagi.",Banjir
Mohon petugas menangani sampah di RW 05 karena membuat lingkungan tidak nyaman.,Kebersihan
Proses surat pindah di loket pelayanan tidak jelas. Mohon perbaikan pelayanan.,Administrasi
vandalisme terjadi di perempatan dan membuat rawan tindakan kriminal.,Keamanan
Pengangkutan sampah di RW 03 tidak terangkut sehingga mengganggu aktivitas masyarakat.,Kebersihan
"Antrian layanan KK di loket pelayanan tidak jelas, pelayanan menjadi terhambat.",Administrasi
Warga mengeluhkan trotoar rusak parah di dekat pasar. Kondisi ini membahayakan pengendara.,Infrastruktur
Mohon petugas menangani sampah di RW 05 karena mengganggu warga.,Kebersihan
"Saat hujan deras, jalan utama tergenang hingga 10 cm karena sungai meluap.",Banjir
"Saat hujan deras, dekat pasar tergenang hingga 50 cm karena sungai meluap.",Banjir
TPS tidak terangkut di RW 05 dan menimbulkan bau menyengat.,Kebersihan
Banjir terjadi di RW 05 akibat hujan deras. Genangan mencapai 50 cm.,Banjir
trotoar di gang kecil rusak dan berpotensi menyebabkan kecelakaan.,Infrastruktur
marka jalan di depan sekolah ambrol dan menyebabkan kemacetan.,Infrastruktur
Warga mengeluhkan layanan KTP di kelurahan karena warga harus bolak-balik.,Administrasi
jalan di jalan utama retak dan tidak rata dan menyebabkan kemacetan.,Infrastruktur
sampah menumpuk di depan sekolah dan menimbulkan bau menyengat.,Kebersihan
Jalan rusak di jalan utama sehingga membahayakan pengendara.,Infrastruktur
"Mohon penanganan banjir di RW 03, air setinggi 40 cm sejak sejak hujan deras.",Banjir
"Antrian layanan akta kelahiran di kantor kecamatan lambat, informasi tidak jelas.",Administrasi
"Sering terjadi balap liar di area parkir pada akhir pekan, mohon patroli.",Keamanan
"Sering terjadi parkir liar di area parkir pada sore hari, mohon patroli.",Keamanan
"Mohon penanganan banjir di RW 05, air setinggi 50 cm sejak sejak hujan deras.",Banjir
vandalisme terjadi di jalan utama dan membuat mengganggu ketertiban.,Keamanan
Pengangkutan sampah di sekitar puskesmas berbau sehingga menimbulkan bau menyengat.,Kebersihan
Pengangkutan sampah di depan sekolah tidak terangkut sehingga mengganggu aktivitas masyarakat.,Kebersihan
Mohon petugas menangani pengangkutan sampah di sekitar puskesmas karena mengganggu warga.,Kebersihan
Pengangkutan sampah di RW 03 berbau sehingga membuat lingkungan tidak nyaman.,Kebersihan
"Sudah beberapa hari lampu jalan di RW 03 ambrol, membuat warga kesulitan lewat.",Infrastruktur
jalan di RW 05 rusak parah dan mengganggu aktivitas warga.,Infrastruktur
"Kondisi selokan di depan sekolah kotor, mengganggu warga.",Kebersihan
"Mohon penanganan banjir di RW 03, air setinggi 50 cm sejak 1 jam.",Banjir
"Air meluap di RW 05 karena sungai meluap, kondisi berlangsung 1 jam.",Banjir
"Sudah beberapa hari jalan lingkungan di dekat pasar retak dan tidak rata, mengganggu aktivitas warga.",Infrastruktur
"Antrian layanan KK di kantor kecamatan lambat, pengajuan tertunda.",Administrasi
"Air meluap di RW 03 karena gorong-gorong tersumbat, kondisi berlangsung 2 hari.",Banjir
"Mohon penanganan banjir di jalan utama, air setinggi 10 cm sejak 3 jam.",Banjir
"Sering terjadi vandalisme di RW 05 pada dini hari, mohon patroli.",Keamanan
Warga melaporkan pencurian di area parkir yang mengganggu ketertiban.,Keamanan
"Antrian layanan surat pindah di kantor kecamatan lambat, pelayanan menjadi terhambat.",Administrasi
Warga mengeluhkan jalan lingkungan retak dan tidak rata di RW 05. Kondisi ini menyebabkan kemacetan.,Infrastruktur
"Kondisi sampah di komplek perumahan meluap, mengganggu warga.",Kebersihan
Warga mengeluhkan lampu jalan ambrol di jalan menuju halte. Kondisi ini mengganggu aktivitas warga.,Infrastruktur
Warga mengeluhkan jembatan tertutup material di jalan utama. Kondisi ini mengganggu aktivitas warga.,Infrastruktur
Mohon petugas menangani TPS di komplek perumahan karena mengganggu aktivitas masyarakat.,Kebersihan
Proses surat domisili di mal pelayanan publik lambat. Mohon perbaikan pelayanan.,Administrasi
"Antrian layanan akta kelahiran di mal pelayanan publik tertunda, informasi tidak jelas.",Administrasi
"Warga melaporkan masalah kebersihan di dekat balai warga, membuat lingkungan tidak nyaman.",Kebersihan
Jalan tertutup material di RW 05 sehingga membahayakan pengendara.,Infrastruktur
"Kondisi selokan di dekat pasar kotor, menimbulkan bau menyengat.",Kebersihan
Warga mengeluhkan marka jalan retak dan tidak rata di RW 03. Kondisi ini membahayakan pengendara.,Infrastruktur
lampu jalan di RW 05 tertutup material dan menyebabkan kemacetan.,Infrastruktur
"Mohon penanganan banjir di sekitar puskesmas, air setinggi 10 cm sejak 2 hari.",Banjir
"Mohon penanganan banjir di perempatan, air setinggi 10 cm sejak 2 hari.",Banjir
"Sistem layanan kelurahan untuk KK tidak jelas, sehingga pengajuan tertunda.",Administrasi
"Sudah beberapa hari jalan lingkungan di jalan utama rusak, membuat warga kesulitan lewat.",Infrastruktur
"Mohon penanganan banjir di RW 05, air setinggi 20 cm sejak sejak pagi.",Banjir
Proses KK di loket pelayanan tidak jelas. Mohon perbaikan pelayanan.,Administrasi
selokan tidak terangkut di RW 05 dan mengundang lalat.,Kebersihan
Pengurusan surat pindah di kelurahan tidak jelas sehingga pelayanan menjadi terhambat.,Administrasi
"Warga melaporkan masalah kebersihan di dekat balai warga, mengundang lalat.",Kebersihan
"Saat hujan deras, jalan utama tergenang hingga 40 cm karena sungai meluap.",Banjir
jembatan di jalan menuju halte retak dan tidak rata dan berpotensi menyebabkan kecelakaan.,Infrastruktur
Jalan retak dan tidak rata di jalan menuju halte sehingga mengganggu aktivitas warga.,Infrastruktur
Mohon peningkatan keamanan di perempatan karena terjadi parkir liar.,Keamanan
Warga melaporkan vandalisme di dekat pasar yang warga merasa tidak aman.,Keamanan
Warga mengeluhkan jembatan ambrol di gang kecil. Kondisi ini berpotensi menyebabkan kecelakaan.,Infrastruktur
Mohon petugas menangani pengangkutan sampah di RW 03 karena mengganggu warga.,Kebersihan
Proses surat pindah di kantor desa mengalami gangguan. Mohon perbaikan pelayanan.,Administrasi
Warga mengeluhkan jalan lingkungan rusak di perempatan. Kondisi ini mengganggu aktivitas warga.,Infrastruktur
"Sudah beberapa hari jalan lingkungan di jalan menuju halte tertutup material, berpotensi menyebabkan kecelakaan.",Infrastruktur
Drainase di RW 03 bermasalah sehingga terjadi banjir 1 jam.,Banjir
"Saat hujan deras, dekat pasar tergenang hingga 40 cm karena gorong-gorong tersumbat.",Banjir
"Sering terjadi vandalisme di RW 05 pada sore hari, mohon patroli.",Keamanan
"Antrian layanan akta kelahiran di kelurahan terlalu lama, waktu tunggu terlalu lama.",Administrasi
"Saat hujan deras, komplek perumahan tergenang hingga 20 cm karena drainase tersumbat.",Banjir
Banjir terjadi di komplek perumahan akibat gorong-gorong tersumbat. Genangan mencapai 50 cm.,Banjir
Mohon petugas menangani TPS di RW 03 karena mengganggu warga.,Kebersihan
Jalan rusak parah di depan sekolah sehingga berpotensi menyebabkan kecelakaan.,Infrastruktur
"Saat hujan deras, RW 03 tergenang hingga 50 cm karena drainase tersumbat.",Banjir
"Mohon perbaikan jalan lingkungan yang berlubang di jalan menuju halte, karena membahayakan pengendara.",Infrastruktur
"Sistem layanan kelurahan untuk KTP tidak jelas, sehingga pelayanan menjadi terhambat.",Administrasi
Warga mengeluhkan layanan KTP di kantor desa karena waktu tunggu terlalu lama.,Administrasi
TPS meluap di RW 05 dan mengundang lalat.,Kebersihan
Warga mengeluhkan jembatan retak dan tidak rata di depan sekolah. Kondisi ini membahayakan pengendara.,Infrastruktur
"Sistem layanan kantor kecamatan untuk KTP tertunda, sehingga warga harus bolak-balik.",Administrasi
"Sudah beberapa hari marka jalan di jalan menuju halte berlubang, berpotensi menyebabkan kecelakaan.",Infrastruktur
"Sudah beberapa hari trotoar di dekat pasar rusak, menyebabkan kemacetan.",Infrastruktur
"Mohon penanganan banjir di sekitar puskesmas, air setinggi 30 cm sejak sejak pagi.",Banjir
"Air meluap di dekat pasar karena drainase tersumbat, kondisi berlangsung 3 jam.",Banjir
Proses KTP di kelurahan lambat. Mohon perbaikan pelayanan.,Administrasi
Pengurusan surat pindah di kelurahan mengalami gangguan sehingga pengajuan tertunda.,Administrasi
Mohon petugas menangani sampah di dekat pasar karena mengganggu aktivitas masyarakat.,Kebersihan
"Kondisi sampah di sekitar puskesmas kotor, mengganggu warga.",Kebersihan
"Area dekat pasar rawan parkir liar, terutama dini hari.",Keamanan
"Antrian layanan surat pindah di kantor desa tertunda, warga harus bolak-balik.",Administrasi
Banjir terjadi di komplek perumahan akibat sungai meluap. Genangan mencapai 50 cm.,Banjir
"Area area parkir rawan parkir liar, terutama akhir pekan.",Keamanan
Warga melaporkan pencurian di jalan utama yang rawan tindakan kriminal.,Keamanan
jalan lingkungan di depan sekolah berlubang dan membuat warga kesulitan lewat.,Infrastruktur
lampu jalan di RW 05 rusak parah dan menyebabkan kemacetan.,Infrastruktur
selokan meluap di RW 05 dan mengundang lalat.,Kebersihan
